gene_symbols,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
CDC42,706.9387,327.75375,562.96265,461.58035,1612.8005,645.9072,562.99207,568.3901,328.23114,992.6192,802.7816,746.1163,391.68335,577.3911,215.11984,810.55084,573.5283,1628.2979,511.76483,256.61368,276.29407,835.5349,857.35095,497.31464,354.87695,666.4789,478.02203,868.57513,898.4118,383.6402,977.9413,1493.4113,922.53796,669.65607,1035.4868,572.3615,994.47156,826.3451,256.0612,535.2095,137.27065,400.52637,277.6662,397.24777,934.53577,455.68375,485.89606,713.273,886.18286,498.1833,672.9812,359.8772,300.6776,684.5055,294.67654,2142.0022,279.40985,467.21094,476.10422,668.6346,608.2596,899.17334,417.98212,389.94168,851.20074,978.6923,937.68616,365.63318,287.58038,209.42278,1227.1318,174.65352,446.27942,356.07114,762.0984,494.10834,448.6527,474.86865,344.48395,415.29932,356.73447,871.7977,595.6846,558.43536,1132.7235,585.0917,1106.0334,631.6957,365.2698,522.0687,763.53265,389.93896,719.01587,771.4553,660.8538,563.0329,350.07758,459.37762,947.9121,1403.2552,761.84314,226.1026,783.47546,478.90887,666.97955,13109.41
ZNF436-AS1,35.207302,13.936332,22.777391,25.126453,77.38912,31.588291,27.601765,27.378063,19.752047,45.566505,37.308754,32.165527,28.746424,32.50051,14.146842,30.48869,28.032084,88.996956,25.338634,10.35885,15.101773,41.607586,46.288322,25.571722,17.719872,30.191652,26.07153,42.891354,39.676643,18.325897,44.692856,60.886185,41.968853,38.11495,50.9396,29.901627,50.053947,40.9216,15.004054,30.693243,6.6924076,16.133354,13.290593,16.068787,43.329384,29.409554,25.916664,43.22823,57.153435,28.963898,26.33212,19.986694,15.413288,33.139915,16.25353,107.86165,12.281765,21.339973,21.610636,28.437307,31.205482,47.893555,20.925882,17.31063,45.713844,40.352924,42.682327,16.631779,9.719076,10.434302,59.277306,6.950058,23.53835,13.783418,42.566414,30.68333,25.344458,25.366169,13.495983,26.370085,16.64174,45.403374,27.21783,22.967186,66.08465,29.643887,64.23075,35.354736,10.762444,26.694324,42.332794,21.31827,38.99189,52.365578,30.498383,26.23143,18.049044,24.329857,49.786633,71.42824,44.567513,12.154239,36.54003,22.770287,33.017395,612.90875
ID3,774.09467,222.59637,432.5767,359.4854,1491.9678,505.93286,597.8963,454.85538,477.78217,880.87146,795.8153,489.17694,327.33273,487.89932,248.56926,591.73584,1644.4288,2280.1626,577.3097,269.8564,185.85214,867.38794,683.478,457.95886,374.98657,385.42865,389.1171,919.2145,743.251,294.39258,977.1767,1226.7533,730.34045,823.8259,1601.8895,688.73114,951.1047,1214.1813,222.81917,500.75885,246.43018,271.09647,186.22939,481.4919,1095.7567,656.8415,420.21204,588.49817,540.3998,373.08514,568.4598,322.9895,281.40582,627.3152,283.06622,2565.3755,194.2085,493.02866,355.43762,494.52408,620.21844,778.90186,331.32394,399.60992,765.96155,893.20544,819.313,404.23505,174.6527,200.8066,1799.3629,114.289185,392.47278,261.0233,630.48267,373.999,345.74255,328.14957,567.4507,385.87805,362.53598,724.39465,1452.8619,592.3486,854.678,545.08655,836.1843,482.86026,277.89365,703.60724,680.6785,416.71484,724.6403,932.13806,625.5121,464.17218,498.15366,376.94098,760.97595,1141.5127,594.8,345.08093,687.85876,446.01047,685.9192,11396.06
FUCA1,67.3472,26.587408,36.298534,34.781822,104.93697,41.059822,38.620773,33.623886,40.38897,71.199196,60.166283,45.242123,33.41457,54.1747,18.92852,112.06257,50.536366,162.77728,36.404034,13.3148575,20.617474,67.181015,51.983826,32.447712,30.598385,49.32735,29.023384,57.821884,54.736946,22.049934,71.21564,101.67308,68.286835,47.360977,77.05017,46.281815,69.29877,73.14057,21.551874,35.218105,12.985188,22.843716,23.374208,49.32483,67.84372,43.79398,42.682564,55.388245,90.129326,32.1225,48.86694,20.675377,18.294743,50.344093,20.75888,144.48087,15.39485,30.769854,28.512974,46.89109,37.24005,60.13429,27.286957,26.364197,59.095833,62.74917,68.35525,21.60848,19.357111,14.129328,107.61714,8.022106,29.338726,23.683094,55.96331,36.133827,31.437143,28.773754,23.666515,39.27403,27.27263,50.658222,42.2687,44.95662,58.769962,33.348755,59.390697,41.36504,19.47937,37.437386,60.71309,26.05927,51.389923,53.838234,42.526516,31.339956,87.71564,29.534306,65.68185,86.81617,50.78837,17.871855,52.630272,36.74588,44.34236,846.65234
RSRP1,260.50513,115.25951,197.62892,181.51627,547.1556,199.68431,201.16351,185.90388,133.50362,355.97098,287.51657,260.23795,158.38622,221.65305,92.49257,376.56235,261.41492,674.0191,190.84673,109.94841,97.14699,302.41284,304.10892,179.19644,143.7447,225.55515,167.95882,309.00327,310.94482,128.95575,340.11963,501.1962,328.94437,233.36836,380.96832,225.12616,357.99335,313.75226,99.95987,193.76518,71.226265,131.78554,105.657265,178.12854,349.54868,213.18445,172.23622,261.28027,383.19937,165.00885,228.0581,122.53569,106.87043,247.3205,105.00385,740.43933,88.242424,165.46509,158.28033,215.47438,192.50523,316.47137,138.8176,146.35257,286.49805,319.5453,334.96667,123.464455,97.368996,85.78232,453.58435,55.4643,159.6465,146.49524,283.24445,201.58815,174.31401,163.55597,118.60915,163.92145,123.50228,292.84866,208.04106,226.44348,385.90283,202.22168,367.11026,216.4039,114.43471,210.73354,358.10477,140.80957,294.5639,275.60828,241.55461,192.24849,162.07083,163.76082,322.33405,491.1984,296.8797,92.28456,285.8015,187.65428,228.73505,4491.453
PAQR7,13.66959,5.918252,13.84949,13.881102,44.83016,20.356619,11.496708,13.842384,9.4002075,26.554255,23.233223,20.64995,11.249586,22.149883,6.76647,13.159184,16.91416,41.60322,18.532269,7.043751,8.99283,22.99941,28.258116,11.941118,7.961468,19.52941,13.968408,21.980692,19.617895,4.874698,26.774588,42.641273,25.708038,19.424997,28.518024,18.111565,29.226713,19.991955,6.381464,20.921713,2.5818624,9.577681,10.340889,7.5820107,20.667707,11.080033,11.960735,18.706545,18.458868,21.30933,20.036114,6.3278446,10.51486,18.00141,7.109243,68.51895,6.479266,11.156316,14.180307,19.821194,15.178785,20.154095,13.938311,8.604407,21.768476,20.732344,17.514704,11.381831,6.0585794,7.6131244,40.025578,5.172781,9.823395,6.081086,22.848837,15.828524,12.760397,13.945734,13.617947,11.341891,10.08911,21.78377,20.033876,17.91864,26.048935,15.109042,50.46143,20.224878,9.581702,17.077019,18.155643,10.879002,26.903683,20.07894,20.311026,21.778212,6.36055,16.5536,22.346844,39.857155,18.01627,5.589139,24.153873,16.563883,20.500015,380.97485
STMN1,1110.5912,479.80118,687.3064,805.66016,2083.262,821.7328,832.3457,710.1607,625.4281,1486.6323,1148.5632,1017.72034,758.60486,1201.9025,500.51935,1688.6392,1273.8052,3082.8132,740.8813,439.9543,384.8776,1534.6918,1160.3933,635.5767,672.44824,1075.1161,656.7922,1217.6343,1267.3,522.2429,1253.5078,1817.4757,1146.523,956.57684,1567.3245,1021.07654,1446.3402,1396.4937,475.2807,839.17706,278.05246,529.46985,610.26807,908.8355,1373.4475,1068.0171,796.6499,1295.8866,1628.6526,719.1397,862.0295,516.59735,445.51453,1016.4022,489.88168,2955.4822,359.2765,652.38586,678.07983,798.81757,783.7588,1239.1948,565.3345,622.5371,1214.9025,1223.8092,1249.3625,593.1111,396.29828,367.71243,1730.1798,235.03682,678.38995,584.5614,1414.7611,834.16724,623.646,665.33105,509.79492,893.1502,511.44623,1148.2029,912.9063,1047.6096,1437.7904,817.2566,1525.2058,853.21295,410.93503,933.2936,1676.073,625.72815,1124.2261,1104.2964,888.14087,745.4171,1030.6924,619.4772,1341.803,2012.433,1139.7117,553.9192,1140.2725,756.8662,967.3098,17605.719
SH3BGRL3,1709.9034,684.7743,1094.8055,943.4011,3180.6687,1302.8535,1169.7872,1137.4691,697.1637,2031.1473,1808.6803,1655.6064,848.4835,1187.4872,540.02783,2156.325,1505.5717,3654.5125,1093.15,592.5248,534.7955,1760.9984,1974.2969,1038.8135,904.9328,1922.51,1131.7609,1769.2412,1656.7546,830.022,2117.1133,3690.5889,2872.9014,1751.7213,2040.0935,1237.5952,1959.1781,1696.4458,575.2561,1088.5367,398.8835,808.39124,609.6713,793.60046,1806.962,1005.1353,1113.3567,1537.237,2053.1675,1058.8492,1282.8011,730.0532,625.578,1466.6697,610.5494,4380.5186,619.8917,937.90106,927.86066,1393.3096,1299.9443,1891.3622,869.86694,830.149,1758.2668,2996.3074,1773.4923,748.9854,586.0883,454.84457,2815.9958,326.24622,827.98376,924.7059,1617.0422,1059.8263,977.58075,983.2105,659.47,907.8494,781.9078,1691.467,1212.3845,1183.1951,2434.6736,1226.6975,2242.8599,1231.4305,691.4335,1240.021,1708.0079,842.6192,1714.565,1796.3073,1433.8628,1163.1085,678.1876,901.18274,1834.8225,2834.7668,1900.0096,544.52026,1641.3878,996.13837,1423.7628,26473.225
CD52,371.1663,145.55334,181.0341,118.57971,428.81027,187.90869,175.67873,138.00902,146.42213,246.84666,257.1082,220.10503,167.71378,174.7682,78.89807,723.6522,340.65216,918.22876,191.37349,151.29356,94.672676,247.1781,220.72803,193.98499,129.14264,539.3631,122.66451,247.97832,201.31146,194.89777,304.27115,874.3495,419.56192,273.1984,289.10663,204.1064,282.877,322.3707,78.964714,184.23068,123.96727,89.39723,88.46169,208.57364,396.52258,226.63675,212.88776,218.69223,324.33704,257.55325,184.38078,84.98596,117.240265,236.18307,90.24364,732.6519,78.42803,158.59024,116.71694,157.31482,137.49338,268.21548,144.35516,120.01849,266.55185,885.1519,278.55087,165.0131,107.61327,82.03058,645.84,52.64048,139.36229,125.2856,236.3751,141.84282,140.03592,130.26125,97.178024,228.58202,112.25324,249.14796,214.80586,170.22311,1340.1055,154.06595,360.37708,203.77438,93.29642,226.54298,369.26508,151.81108,375.0476,244.93288,201.60477,182.02686,128.58398,129.86464,257.8218,384.83862,225.12582,121.28298,199.2934,116.99468,177.26381,3738.9219
SYTL1,7.050073,2.5946765,5.1581054,3.625823,10.046866,3.7203326,3.258957,3.051672,1.7392132,8.509466,9.81509,5.7062607,2.9309673,5.430552,2.8828263,19.32592,16.889648,39.78026,4.8295116,3.4328952,1.7925166,3.7877505,4.4187036,4.4454846,7.140865,12.704647,4.2961855,7.5657797,9.016646,2.9804397,9.519265,12.86264,7.182434,14.003793,9.2072,4.440093,11.269676,3.2139323,1.5737996,4.2631874,5.200016,2.7971208,2.2764795,1.4632618,6.1440907,4.884486,3.7143815,4.271921,4.39723,2.5004437,4.022254,1.8455491,2.4571807,5.8022976,1.5024234,15.144003,4.127898,3.4286842,2.760001,5.163988,3.9029613,6.462283,3.0301678,2.8191516,7.443145,11.751559,5.6953607,3.9126873,0.90041023,1.1445879,18.918766,0.6052334,3.9723313,1.7592086,4.9657793,0.96704865,2.3077602,3.2572598,1.755464,2.2093182,3.1986165,9.82506,4.483926,4.5664454,7.1917496,3.915321,11.847312,6.717304,2.376041,3.2362127,10.886284,2.97131,5.3161592,6.2517276,6.312637,3.5907185,14.727123,2.9720266,6.815596,10.669451,5.7370496,2.2730737,6.222826,4.537169,5.332403,97.45401
IFI6,16.896057,9.1931305,10.042373,9.674679,26.567911,10.748299,9.072596,12.357746,8.466078,22.858147,14.326097,16.080574,10.8604145,11.230953,3.5335486,24.917202,12.383432,45.51226,13.915807,9.328964,6.9326963,14.406558,14.381265,14.919564,7.8308806,13.322182,7.9386687,12.3959255,13.776915,6.6592855,18.494324,31.534868,18.716068,14.398131,22.741173,9.531017,17.126938,15.677599,6.1893077,13.727394,3.4508166,8.318352,7.2023015,13.472598,20.398258,10.934559,11.090305,16.441174,18.705763,10.384049,9.965239,5.19218,6.757401,16.749352,8.711,39.35775,3.143808,10.405314,7.410531,12.172437,11.891245,16.423645,9.615341,6.4672112,18.769121,23.429983,16.882837,5.3836975,5.3245263,6.091548,30.806318,2.8930087,6.487934,6.6654067,15.252843,11.270566,9.913329,9.418705,8.365602,8.051558,4.4053016,18.544487,15.555159,13.00696,21.618464,11.30898,20.564846,11.345438,6.056729,13.652138,19.770828,9.098655,11.89094,19.184761,13.589229,9.445215,5.413906,8.292855,20.442347,27.803122,12.960183,5.379635,17.452492,7.9993505,13.299261,248.38304
THEMIS2,22.882084,7.5191627,15.737406,18.457844,48.950043,21.11855,18.10761,14.99679,10.673133,31.366892,23.834774,24.147686,11.814172,17.964787,7.0639586,62.141266,32.562214,111.0629,21.088045,11.914979,8.174336,21.0684,36.10314,18.12291,11.383788,16.032194,18.120743,26.722042,29.715218,12.02678,29.911606,48.881477,21.562946,26.61432,27.873573,15.17194,32.621243,21.513844,6.9709206,21.415165,7.3596745,8.973343,7.6078596,7.84513,30.956429,13.7069435,17.602793,17.772074,29.607166,13.882428,20.284729,8.597885,8.875068,23.13857,9.33909,59.648323,8.807604,14.058354,14.561771,23.787708,19.05968,26.94557,12.675309,16.097979,24.863945,32.11581,28.908485,8.266493,7.7322555,3.5357091,44.484573,5.6366787,13.696216,12.202121,20.885965,15.538111,13.939636,13.36984,8.050001,12.951211,10.944549,26.930271,19.742096,20.228268,41.558594,20.658432,31.656544,18.541086,10.546512,18.271086,54.621723,10.333781,25.578869,26.654833,24.12352,17.447754,10.075094,16.900124,27.852293,45.489532,28.373753,7.191728,21.98823,16.414736,23.597658,424.8262
